#Digilent WaveForms Impedance Analyzer - Custom1
#Device Name: DY_Discovery1
#Serial Number: SN:210244704387
#Date Time: 
#Digilent WaveForms Impedance Analyzer Trace#Trace: Trace
#Start: 100 Hz
#Stop: 5e+06 Hz
#Steps: 101
#Resistor: 1000 ¦¸
#Average: 1
#ProbeResistance: 1.041e+06 ¦¸
#ProbeCapacitance: 4.5e-11 F
#Compensation:none
#Wavegen: Wavegen1
#Amplitude: 2 V
#Offset: 0 V
#Amplification: 1 X
#Settle: 0.01 s
#MinPeriods: 16
#Scale: Logarithmic
#ScopeC
#SChannel: 1 
#Range: 5.48591 V
#Offset: -0.000257542 V
#Attenuation: 1 X
#ScopeC
#SChannel: 2 
#Range: 5.5047 V
#Offset: -0.000259064 V
#Attenuation: 1 X
#Wavegen Channel 2: Disabled
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 1 V
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 ¡ã

Frequency (Hz)	Trace Vout (V)
100	0.9237085240359751
111.4268106709143	0.9339172822953941
124.1593413629177	0.9424556313952404
138.3467942307124	0.9493516867938571
154.1554204767356	0.9554414335836592
171.7704685135639	0.9602800933975644
191.3983547391513	0.9640857746487322
213.269082362439	0.9673059410059393
237.6389366235905	0.9699056578425984
264.7934879919427	0.971925953154537
295.050938533692	0.973587353010028
328.7658506626926	0.9748848784766289
366.3333019685392	0.9758078577280284
408.1935148089927	0.9764682700697499
454.8370149171666	0.9768664644885541
506.8103794729898	0.9771928027151049
564.7226419959104	0.9770559718515721
629.2524291125679	0.9767796822701246
701.1559128293893	0.9763870554677891
781.2756714963242	0.9755051661191622
870.550563296124	0.974436442187773
970.0267279585497	0.9730998876727396
1080.869845619638	0.9711820204143584
1204.378796477597	0.9688215540708018
1342.000881311729	0.9660085433521147
1495.348781221221	0.9624287825211676
1666.219455321193	0.9579206131649993
1856.615197842686	0.9524770439308546
2068.767101387591	0.9458233166282963
2305.161201285311	0.9377380261457261
2568.567607415556	0.9279718147462301
2862.072964869367	0.9161805153874207
3189.116623828411	0.9022297936411668
3553.530942507937	0.8858389476033328
3959.586195440673	0.8667173064295874
4412.040613345332	0.8446721854414381
4916.196140956152	0.8195371045915165
5477.960566194004	0.7914638625963414
6103.916748720334	0.760241174284799
6801.399759106832	0.7263869863100213
7578.582832551996	0.6901973027088674
8444.573144366113	0.6521741834097062
9409.5185295397	0.6130028492768534
10484.7263969548	0.5730652507473279
11682.79623169819	0.5332599310527139
13017.76723816306	0.4940200026808431
14505.28285404826	0.4560185840152309
16162.77406306094	0.4196749332595581
18009.66365441455	0.3852745944002585
20067.59382267297	0.3530512992116293
22360.6797749979	0.3230980259529121
24915.79231761632	0.2956763053566525
27762.87273290857	0.2705655901234275
30935.2836369049	0.2477670515883942
34470.19992860434	0.2272854364490912
38409.04441233158	0.2088583803648372
42797.97319783613	0.1925087165605958
47688.41656614144	0.1782010540253939
53137.68163911133	0.1653460836171595
59209.62391492575	0.1542238349717162
65975.39553864471	0.1444823117574825
73514.27907623244	0.1363195386840512
81914.6165623611	0.1290708773817439
91274.84470874748	0.1229759085045263
101704.6484037871	0.1175328670506877
113326.2460204069	0.1132054286023508
126275.8215936133	0.1094807768177067
140705.120650257	0.1063939983356998
156783.2283912434	0.1037791071430241
174698.5510632577	0.1017124277262609
194661.0237380866	0.0998613559950889
216904.5703707013	0.09850345778905489
241689.8449635213	0.09708833245989867
269307.2859583292	0.09604082088587051
300080.5196477651	0.09511112434805181
334370.1524882111	0.09420949748061402
372577.9967530864	0.09351363399070399
415151.7790435466	0.09276551188540573
462590.3868317851	0.09235892915353623
515449.7145169031	0.09185294892932558
574349.1774985178	0.09145623060079672
639978.9706012268	0.09099085241307819
713108.1559054942	0.09070406361136593
794593.6747596633	0.09044556281899205
885390.3895775104	0.09013632927689208
986562.273093003	0.08985560569588598
1099294.876190009	0.08961102340876763
1224909.220407302	0.08930137597837549
1364877.277913817	0.08902835385494019
1520839.220351358	0.08878805899571751
1694622.638669916	0.08851556312017193
1888263.959177179	0.08814176305800181
2104032.306759465	0.08776094030844936
2344456.09490774	0.0873216090237188
2612352.654135555	0.08683440421764364
2910861.245980229	0.08627849566180797
3243479.849451406	0.08552860209677579
3614106.150997474	0.08473906136349088
4027083.218317823	0.08364581049016072
4487250.393235162	0.08238752885726641
5000000	0.080747206861361
